Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy,,
pontos_grupo2_2,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo2_3,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo2_4,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo2_5,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo3_1,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo3_2,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo3_3,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo4_1,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo4_2,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo4_3,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo5_1,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo6_1,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo6_2,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo6_3,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo6_4,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
pontos_grupo6_5,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
TOTAL,oersm:PontuacaoFinal,??elementoquestionario,,schema:Interger,,,,,,,,,,
RISCO,oersm:NivelDeRisco,??paciente,,,,,,,,,,,,
grupo etario,oersm:FaixaEtaria,??paciente,,,,,,,,,,,,
??questao,,,oersm:Questao,,,oersm:questaoPossui,oersm:OpcaoDeResposta,,,,,,,
??questao,,,oersm:Questao,,,oersm:fazParte,oersm:GrupoDeQuestao,,,,,,,
??questao,,,oersm:Questao,,,oersm:questaoPossui,oersm:Pontuacao,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:responde,oersm:Questao,,,,,,,
??dadodeinternacao,,,oersm:DadoDeInternacao,,,,,,,,,,,
??dadoclinico,,,oersm:DadoClinico,,,,,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:pacientePossui,oersm:DadoDeInternacao,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:pacientePossui,oersm:FaixaEtaria,,,,,,,
??faixaetaria,,,oersm:FaixaEtaria,,,oersm:faixaEtariaPossui,oersm:NivelDeRisco,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:pacientePossui,oersm:PontuacaoFinal,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:pacientePossui,oersm:DadoClinico,,,,,,,
??elementoquestionario,,,oersm:ElementoQuestionario,,,oersm:temElementoQuestionario,oersm:Paciente,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:pacientePossui,oersm:NivelDeRisco,,,,,,,
??nivelderisco,,,oersm:NivelDeRisco,,,oersm:nivelDeRiscoOrienta,oersm:ProjetoTerapeuticoSingular,,,,,,,
??projetoterapeuticosingular,,,oersm:ProjetoTerapeuticoSingular,,,oersm:projetoTerapeuticoSingularEFormadoPor,oersm:AcaoTerapeutica,,,,,,,
??nivelderiscoalto,,,oersm:NivelDeRiscoAlto,,,oersm:nivelDeRiscoOrienta,oersm:AtendimentoMedico,,,,,,,
??nivelderiscoalto,,,oersm:NivelDeRiscoAlto,,,oersm:nivelDeRiscoOrienta,oersm:InstrumentoAssistencial,,,,,,,
??nivelderiscoalto,,,oersm:NivelDeRiscoAlto,,,oersm:nivelDeRiscoOrienta,oersm:OficinaDeConvivencia,,,,,,,
??nivelderiscomedio,,,oersm:NivelDeRiscoMedio,,,oersm:nivelDeRiscoOrienta,oersm:AtendimentoMedico,,,,,,,
??nivelderiscomedio,,,oersm:NivelDeRiscoMedio,,,oersm:nivelDeRiscoOrienta,oersm:InstrumentoAssistencial,,,,,,,
??nivelderiscomedio,,,oersm:NivelDeRiscoMedio,,,oersm:nivelDeRiscoOrienta,oersm:OficinaDeConvivencia,,,,,,,
??nivelderiscobaixo,,,oersm:NivelDeRiscoBaixo,,,oersm:nivelDeRiscoOrienta,oersm:AtendimentoMedico,,,,,,,
??nivelderiscobaixo,,,oersm:NivelDeRiscoBaixo,,,oersm:nivelDeRiscoOrienta,oersm:InstrumentoAssistencial,,,,,,,
??nivelderiscobaixo,,,oersm:NivelDeRiscoBaixo,,,oersm:nivelDeRiscoOrienta,oersm:OficinaDeConvivencia,,,,,,,
